,month,gender,years,edu_lvl,etnicity,main_source,total
18367,NOV,m,22.0,tecnica_trunca,mestizo,1500.0,1500.0
18368,NOV,f,20.0,tecnica_trunca,mestizo,1200.0,1200.0
18369,NOV,m,36.0,secundaria,mestizo,5161.0,5161.0
18370,NOV,f,33.0,uni_trunca,mestizo,3200.0,3200.0
18371,NOV,f,25.0,tecnica,mestizo,1500.0,1500.0
18372,NOV,f,32.0,secundaria,mestizo,1500.0,1500.0
18373,NOV,m,32.0,tecnica_trunca,mestizo,500.0,500.0
18374,NOV,f,24.0,tecnica,quechua,1400.0,1400.0
18375,NOV,m,62.0,uni_completa,mestizo,8000.0,8000.0
18376,NOV,f,46.0,tecnica,blanco,1200.0,1200.0
18377,NOV,m,32.0,secundaria,mestizo,3031.0,3031.0
