age,sex,education,ethnicity,month,main_src,total_src
24.0,f,tecnica_trunca,otro,nov,1134.0,1134.0
35.0,m,tecnica_trunca,afroperuano,nov,1200.0,1200.0
37.0,f,secundaria,mestizo,nov,310.0,310.0
39.0,m,uni_completa,blanco,nov,7000.0,7000.0
30.0,m,uni_completa,mestizo,nov,3000.0,3000.0
42.0,m,secundaria,mestizo,nov,2382.0,2382.0
38.0,f,secundaria,mestizo,nov,2379.0,2379.0
22.0,m,secundaria,mestizo,nov,1025.0,1025.0
69.0,m,uni_completa,mestizo,nov,4000.0,4000.0
38.0,m,uni_completa,mestizo,nov,4000.0,4000.0
34.0,m,uni_completa,mestizo,nov,2400.0,3600.0
30.0,m,secundaria,afroperuano,nov,3370.0,3370.0
24.0,f,secundaria,blanco,nov,150.0,150.0
51.0,m,maestria,blanco,nov,10000.0,10000.0
46.0,m,otro,mestizo,nov,606.0,606.0
25.0,f,uni_completa,mestizo,nov,1500.0,1500.0
36.0,m,secundaria,blanco,nov,3911.0,3911.0
38.0,m,uni_completa,mestizo,nov,3500.0,3500.0
41.0,m,secundaria,mestizo,nov,1299.0,1299.0
21.0,f,secundaria,mestizo,nov,1299.0,1299.0
66.0,m,tecnica,mestizo,nov,1500.0,1500.0
57.0,m,otro,mestizo,nov,1450.0,1450.0
39.0,f,secundaria,mestizo,nov,1179.0,1179.0
36.0,m,uni_completa,mestizo,nov,1650.0,1650.0
36.0,f,tecnica,mestizo,nov,1500.0,1500.0
49.0,m,uni_completa,mestizo,nov,2000.0,2000.0
49.0,f,maestria,mestizo,nov,10000.0,10000.0
24.0,m,uni_trunca,mestizo,nov,1025.0,1525.0
34.0,m,uni_completa,mestizo,nov,1750.0,1750.0
28.0,f,secundaria,mestizo,nov,1025.0,1025.0
44.0,m,tecnica,mestizo,nov,2000.0,2000.0
23.0,m,secundaria,mestizo,nov,1025.0,1025.0
65.0,f,secundaria,quechua,nov,931.0,931.0
46.0,f,otro,mestizo,nov,376.0,376.0
26.0,m,secundaria,mestizo,nov,1516.0,1516.0
24.0,m,otro,mestizo,nov,1516.0,1516.0
19.0,f,otro,afroperuano,nov,1874.0,1874.0
17.0,m,secundaria,afroperuano,nov,1083.0,1083.0
60.0,f,secundaria,mestizo,nov,870.0,870.0
45.0,m,otro,quechua,nov,1387.0,1387.0
19.0,m,secundaria,quechua,nov,650.0,650.0
23.0,f,tecnica_trunca,quechua,nov,1083.0,1083.0
45.0,f,uni_completa,mestizo,nov,3000.0,3000.0
51.0,m,otro,mestizo,nov,1819.0,1819.0
50.0,m,tecnica,mestizo,nov,1794.0,1794.0
26.0,f,secundaria,mestizo,nov,100.0,100.0
51.0,m,secundaria,mestizo,nov,1420.0,1420.0
40.0,m,secundaria,otro,nov,1310.0,1310.0
38.0,m,otro,quechua,nov,1449.0,1449.0
41.0,f,secundaria,afroperuano,nov,1150.0,1150.0
46.0,f,otro,quechua,nov,1020.0,1020.0
25.0,m,tecnica,quechua,nov,800.0,800.0
59.0,f,tecnica,mestizo,nov,900.0,900.0
35.0,f,secundaria,mestizo,nov,1378.0,1378.0
55.0,m,secundaria,mestizo,nov,1450.0,1450.0
28.0,m,otro,mestizo,nov,1480.0,1480.0
52.0,f,tecnica,mestizo,nov,1025.0,1025.0
26.0,f,tecnica_trunca,mestizo,nov,1000.0,1000.0
18.0,m,secundaria,mestizo,nov,779.0,779.0
30.0,f,tecnica_trunca,mestizo,nov,450.0,450.0
43.0,m,secundaria,blanco,nov,866.0,866.0
24.0,f,tecnica,blanco,nov,1400.0,1400.0
20.0,m,otro,mestizo,nov,1668.0,1668.0
17.0,m,otro,mestizo,nov,1679.0,1679.0
38.0,f,secundaria,mestizo,nov,541.0,541.0
39.0,m,tecnica_trunca,mestizo,nov,1200.0,1200.0
29.0,m,otro,mestizo,nov,1732.0,1732.0
16.0,f,otro,mestizo,nov,1025.0,1025.0
53.0,m,secundaria,afroperuano,nov,2760.0,2760.0
48.0,f,secundaria,quechua,nov,650.0,650.0
30.0,m,secundaria,quechua,nov,1200.0,1200.0
32.0,f,secundaria,quechua,nov,640.0,640.0
69.0,m,otro,mestizo,nov,820.0,820.0
52.0,m,secundaria,afroperuano,nov,2990.0,2990.0
19.0,f,tecnica_trunca,afroperuano,nov,1160.0,1160.0
19.0,m,secundaria,afroperuano,nov,996.0,1276.0
39.0,f,otro,mestizo,nov,304.0,304.0
39.0,f,uni_completa,mestizo,nov,1500.0,1500.0
43.0,f,tecnica,mestizo,nov,450.0,550.0
52.0,f,tecnica_trunca,mestizo,nov,515.0,515.0
34.0,f,uni_completa,mestizo,nov,1025.0,1025.0
41.0,m,secundaria,mestizo,nov,2313.0,2313.0
23.0,m,secundaria,mestizo,nov,1800.0,1800.0
63.0,m,uni_completa,mestizo,nov,200.0,200.0
60.0,f,secundaria,mestizo,nov,1278.0,1278.0
26.0,f,uni_completa,mestizo,nov,850.0,850.0
61.0,f,secundaria,mestizo,nov,1025.0,1025.0
43.0,m,secundaria,mestizo,nov,1744.0,1744.0
62.0,m,otro,mestizo,nov,1200.0,1200.0
27.0,m,secundaria,mestizo,nov,1819.0,1819.0
43.0,m,secundaria,mestizo,nov,1800.0,1800.0
35.0,f,tecnica_trunca,mestizo,nov,780.0,780.0
39.0,f,uni_trunca,mestizo,nov,433.0,573.0
62.0,m,otro,mestizo,nov,1410.0,1410.0
46.0,m,tecnica,mestizo,nov,2500.0,2500.0
29.0,m,uni_trunca,mestizo,nov,2500.0,2500.0
21.0,m,tecnica,mestizo,nov,1200.0,1200.0
66.0,f,secundaria,mestizo,nov,390.0,477.0
70.0,m,tecnica,mestizo,nov,400.0,400.0
32.0,m,secundaria,mestizo,nov,4300.0,4300.0
24.0,f,uni_trunca,blanco,nov,800.0,800.0
41.0,f,uni_completa,otro,nov,2200.0,2200.0
59.0,m,uni_completa,mestizo,nov,2900.0,2900.0
59.0,m,secundaria,quechua,nov,2080.0,2080.0
18.0,m,uni_trunca,mestizo,nov,2771.0,2771.0
33.0,m,secundaria,mestizo,nov,1800.0,1800.0
38.0,f,uni_completa,mestizo,nov,1500.0,1500.0
39.0,m,secundaria,blanco,nov,2100.0,2100.0
35.0,f,secundaria,quechua,nov,606.0,606.0
38.0,m,tecnica,mestizo,nov,600.0,600.0
39.0,m,secundaria,mestizo,nov,1000.0,1000.0
37.0,f,secundaria,mestizo,nov,1050.0,1050.0
47.0,f,uni_completa,mestizo,nov,1000.0,1200.0
47.0,f,secundaria,mestizo,nov,1750.0,1750.0
31.0,m,tecnica,mestizo,nov,3760.0,3760.0
57.0,m,secundaria,mestizo,nov,2149.0,2149.0
26.0,f,uni_completa,mestizo,nov,4000.0,4000.0
36.0,m,uni_completa,mestizo,nov,5000.0,6600.0
62.0,m,otro,mestizo,nov,1200.0,1600.0
18.0,f,secundaria,otro,nov,513.0,513.0
37.0,m,tecnica_trunca,mestizo,nov,1299.0,1299.0
37.0,m,secundaria,mestizo,nov,1732.0,1732.0
65.0,m,secundaria,mestizo,nov,2987.0,2987.0
53.0,f,tecnica_trunca,mestizo,nov,640.0,640.0
46.0,f,tecnica,mestizo,nov,1000.0,1000.0
23.0,m,uni_completa,mestizo,nov,1500.0,1500.0
41.0,m,secundaria,blanco,nov,1299.0,1299.0
20.0,f,secundaria,mestizo,nov,433.0,766.0
17.0,f,secundaria,mestizo,nov,860.0,860.0
47.0,m,secundaria,quechua,nov,3300.0,3300.0
47.0,f,secundaria,mestizo,nov,780.0,780.0
29.0,m,uni_completa,mestizo,nov,2200.0,2200.0
21.0,f,tecnica,mestizo,nov,1500.0,1500.0
34.0,m,secundaria,mestizo,nov,1589.0,1589.0
27.0,m,secundaria,mestizo,nov,1949.0,1949.0
48.0,m,uni_trunca,mestizo,nov,3200.0,3200.0
36.0,f,tecnica,mestizo,nov,1100.0,1100.0
65.0,f,otro,quechua,nov,633.0,633.0
34.0,m,secundaria,mestizo,nov,1025.0,1025.0
55.0,m,tecnica,mestizo,nov,1800.0,1800.0
63.0,m,otro,mestizo,nov,2000.0,2000.0
26.0,m,uni_trunca,mestizo,nov,1300.0,1300.0
21.0,m,secundaria,blanco,nov,1025.0,1525.0
46.0,f,secundaria,quechua,nov,4773.0,4773.0
53.0,m,secundaria,mestizo,nov,2000.0,2000.0
19.0,m,secundaria,mestizo,nov,1025.0,1025.0
29.0,m,otro,mestizo,nov,1720.0,1720.0
30.0,f,tecnica,otro,nov,390.0,390.0
65.0,f,secundaria,quechua,nov,572.0,572.0
42.0,f,uni_completa,mestizo,nov,1025.0,1025.0
32.0,m,secundaria,mestizo,nov,1200.0,1200.0
28.0,m,secundaria,afroperuano,nov,1470.0,1470.0
48.0,m,otro,quechua,nov,1041.0,1041.0
52.0,f,tecnica_trunca,quechua,nov,1819.0,1819.0
33.0,m,uni_trunca,mestizo,nov,1516.0,1516.0
28.0,f,uni_trunca,mestizo,nov,650.0,650.0
37.0,m,secundaria,quechua,nov,2469.0,2469.0
24.0,m,secundaria,quechua,nov,2425.0,2425.0
28.0,f,secundaria,quechua,nov,1285.0,1285.0
50.0,f,tecnica,blanco,nov,400.0,400.0
29.0,m,secundaria,mestizo,nov,1285.0,1285.0
60.0,m,uni_completa,mestizo,nov,10300.0,10300.0
46.0,f,otro,mestizo,nov,400.0,400.0
62.0,f,tecnica,mestizo,nov,774.0,774.0
23.0,f,tecnica_trunca,mestizo,nov,1025.0,1025.0
54.0,f,otro,quechua,nov,1800.0,1800.0
28.0,m,secundaria,mestizo,nov,1299.0,1299.0
22.0,m,uni_trunca,mestizo,nov,1299.0,1299.0
20.0,f,secundaria,mestizo,nov,1602.0,1602.0
59.0,f,tecnica,mestizo,nov,3500.0,3500.0
29.0,m,uni_completa,mestizo,nov,1800.0,1800.0
41.0,m,secundaria,mestizo,nov,600.0,1100.0
39.0,m,secundaria,mestizo,nov,3464.0,3464.0
40.0,f,secundaria,mestizo,nov,415.0,415.0
68.0,m,secundaria,mestizo,nov,240.0,240.0
61.0,f,otro,quechua,nov,2500.0,2500.0
27.0,m,uni_completa,otro,nov,1025.0,1025.0
26.0,f,otro,mestizo,nov,520.0,520.0
40.0,m,secundaria,mestizo,nov,1100.0,1100.0
33.0,m,secundaria,mestizo,nov,1819.0,1819.0
41.0,f,secundaria,mestizo,nov,800.0,800.0
45.0,f,tecnica_trunca,mestizo,nov,1282.0,1282.0
25.0,m,secundaria,mestizo,nov,1600.0,1600.0
38.0,m,secundaria,quechua,nov,1286.0,1286.0
35.0,f,tecnica_trunca,mestizo,nov,180.0,180.0
67.0,f,otro,mestizo,nov,130.0,130.0
23.0,f,secundaria,quechua,nov,1386.0,1386.0
53.0,f,uni_trunca,mestizo,nov,1500.0,1500.0
60.0,f,otro,quechua,nov,2130.0,2130.0
30.0,m,otro,otro,nov,1905.0,1905.0
36.0,m,secundaria,mestizo,nov,2270.0,2270.0
38.0,f,secundaria,otro,nov,700.0,700.0
52.0,m,secundaria,quechua,nov,2598.0,2598.0
23.0,f,tecnica,quechua,nov,1646.0,1646.0
35.0,f,uni_completa,mestizo,nov,2500.0,2500.0
73.0,m,otro,quechua,nov,866.0,866.0
51.0,m,otro,quechua,nov,3464.0,3464.0
67.0,m,uni_trunca,otro,nov,3000.0,3000.0
36.0,m,tecnica,mestizo,nov,3000.0,3000.0
58.0,m,maestria,mestizo,nov,10000.0,10000.0
28.0,m,uni_completa,mestizo,nov,4500.0,4500.0
55.0,m,secundaria,mestizo,nov,1050.0,1050.0
54.0,f,tecnica,mestizo,nov,400.0,400.0
31.0,f,tecnica_trunca,mestizo,nov,660.0,940.0
38.0,m,secundaria,mestizo,nov,850.0,1050.0
53.0,f,uni_completa,mestizo,nov,2500.0,2500.0
30.0,m,tecnica,mestizo,nov,1259.0,1259.0
28.0,m,tecnica_trunca,mestizo,nov,1000.0,1000.0
29.0,f,tecnica_trunca,mestizo,nov,120.0,120.0
74.0,f,tecnica,mestizo,nov,778.0,838.0
31.0,f,uni_completa,mestizo,nov,2500.0,2500.0
26.0,m,uni_trunca,mestizo,nov,1600.0,1600.0
63.0,f,secundaria,mestizo,nov,939.0,939.0
47.0,f,uni_completa,mestizo,nov,920.0,920.0
37.0,f,uni_completa,mestizo,nov,4000.0,4000.0
70.0,m,secundaria,mestizo,nov,832.0,832.0
54.0,m,secundaria,afroperuano,nov,800.0,800.0
35.0,m,tecnica_trunca,mestizo,nov,910.0,910.0
50.0,m,tecnica,mestizo,nov,2287.0,2287.0
41.0,f,tecnica,mestizo,nov,335.0,335.0
39.0,m,secundaria,mestizo,nov,2995.0,2995.0
34.0,f,tecnica_trunca,mestizo,nov,1765.0,1765.0
22.0,m,uni_completa,mestizo,nov,3500.0,3500.0
46.0,m,secundaria,mestizo,nov,1299.0,1299.0
21.0,f,tecnica_trunca,quechua,nov,180.0,180.0
37.0,m,secundaria,quechua,nov,2047.0,2047.0
20.0,m,secundaria,quechua,nov,866.0,866.0
18.0,m,secundaria,quechua,nov,217.0,217.0
36.0,f,maestria,mestizo,nov,8000.0,8000.0
52.0,f,secundaria,mestizo,nov,2000.0,2000.0
49.0,f,secundaria,mestizo,nov,500.0,500.0
57.0,m,otro,mestizo,nov,1415.0,1415.0
47.0,m,otro,mestizo,nov,1083.0,1083.0
18.0,m,secundaria,mestizo,nov,520.0,520.0
64.0,f,tecnica,mestizo,nov,1500.0,1515.0
26.0,m,uni_completa,mestizo,nov,380.0,380.0
33.0,m,uni_completa,mestizo,nov,2500.0,2500.0
51.0,m,secundaria,mestizo,nov,3000.0,3000.0
26.0,m,tecnica_trunca,mestizo,nov,1900.0,1900.0
51.0,f,secundaria,quechua,nov,2000.0,2000.0
23.0,m,secundaria,mestizo,nov,1025.0,1025.0
44.0,f,basica_especial,mestizo,nov,1100.0,1100.0
19.0,f,secundaria,mestizo,nov,600.0,600.0
26.0,m,otro,otro,nov,1120.0,1120.0
23.0,f,secundaria,mestizo,nov,1599.0,1599.0
25.0,f,uni_completa,mestizo,nov,4000.0,5500.0
27.0,f,uni_trunca,mestizo,nov,2100.0,2100.0
38.0,m,uni_trunca,mestizo,nov,140.0,140.0
45.0,m,tecnica,mestizo,nov,1300.0,1300.0
65.0,m,otro,quechua,nov,1299.0,1299.0
23.0,m,tecnica,mestizo,nov,1500.0,1500.0
53.0,f,uni_completa,mestizo,nov,3000.0,3000.0
41.0,m,tecnica,mestizo,nov,3760.0,3760.0
43.0,f,uni_completa,mestizo,nov,2000.0,2800.0
69.0,m,otro,mestizo,nov,1700.0,1700.0
67.0,f,tecnica,mestizo,nov,550.0,550.0
43.0,f,tecnica,mestizo,nov,1760.0,1760.0
41.0,f,uni_trunca,mestizo,nov,2000.0,2000.0
27.0,f,uni_trunca,mestizo,nov,737.0,737.0
