month,gender,years,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,edu_lvl,etnicity,1st_source,total
FEB,m,62.0,,,,True,,,,,2543.0,2543.0
FEB,m,33.0,,,,True,,,,,1943.0,1943.0
FEB,m,30.0,,,,True,,,,,1900.0,1900.0
FEB,m,56.0,,,,True,,,,,1866.0,1866.0
FEB,m,57.0,,,,True,,,,,1865.0,1865.0
FEB,m,32.0,,,,True,,,,,1850.0,2850.0
FEB,m,42.0,,,,True,,,,,1860.0,1860.0
FEB,m,34.0,,,,True,,,,,1800.0,1800.0
FEB,m,38.0,,,,True,,,,,1800.0,1800.0
FEB,m,44.0,,,,True,,,,,1800.0,1800.0
FEB,m,54.0,,,,True,,,,,1800.0,1800.0
FEB,m,58.0,,,,True,,,,,1779.0,1779.0
FEB,m,50.0,,,,True,,,,,1770.0,1770.0
FEB,m,49.0,,,,True,,,,,1765.0,1765.0
FEB,m,25.0,,,,True,,,,,1760.0,1760.0
FEB,m,72.0,,,,True,,,,,1758.0,1758.0
FEB,m,41.0,,,,True,,,,,1732.0,1732.0
FEB,m,46.0,,,,True,,,,,1721.0,1721.0
FEB,m,43.0,,,,True,,,,,1712.0,1712.0
FEB,m,55.0,,,,True,,,,,1710.0,1710.0
FEB,m,46.0,,,,True,,,,,1700.0,1700.0
FEB,m,53.0,,,,True,,,,,1700.0,1700.0
FEB,m,44.0,,,,True,,,,,1700.0,1700.0
FEB,m,42.0,,,,True,,,,,1700.0,1700.0
FEB,m,30.0,,,,True,,,,,1690.0,1690.0
FEB,m,67.0,,,,True,,,,,1687.0,1687.0
FEB,m,42.0,,,,True,,,,,1680.0,1680.0
FEB,m,57.0,,,,True,,,,,1680.0,1680.0
FEB,m,64.0,,,,True,,,,,1671.0,3471.0
FEB,m,43.0,,,,True,,,,,1650.0,1650.0
FEB,m,28.0,,,,True,,,,,1650.0,1650.0
FEB,m,24.0,,,,True,,,,,1641.0,1641.0
FEB,m,49.0,,,,True,,,,,1640.0,4557.0
FEB,m,58.0,,,,True,,,,,1604.0,1604.0
FEB,m,33.0,,,,True,,,,,1600.0,1800.0
FEB,m,49.0,,,,True,,,,,1600.0,2600.0
FEB,m,38.0,,,,True,,,,,1600.0,1600.0
FEB,m,33.0,,,,True,,,,,1600.0,1600.0
FEB,m,39.0,,,,True,,,,,1600.0,1600.0
FEB,m,68.0,,,,True,,,,,1600.0,1600.0
FEB,m,39.0,,,,True,,,,,1647.0,1647.0
FEB,m,24.0,,,,True,,,,,1582.0,1582.0
FEB,m,30.0,,,,True,,,,,1582.0,1582.0
FEB,m,50.0,,,,True,,,,,1578.0,1578.0
FEB,m,47.0,,,,True,,,,,1570.0,1570.0
FEB,m,28.0,,,,True,,,,,1565.0,1565.0
FEB,m,54.0,,,,True,,,,,1805.0,1805.0
FEB,m,55.0,,,,True,,,,,1562.0,1562.0
FEB,m,65.0,,,,True,,,,,1560.0,1560.0
FEB,m,35.0,,,,True,,,,,1560.0,1560.0
FEB,m,50.0,,,,True,,,,,1539.0,1539.0
FEB,m,44.0,,,,True,,,,,1516.0,1516.0
FEB,m,49.0,,,,True,,,,,1515.0,1515.0
FEB,m,19.0,,,,True,,,,,1500.0,1500.0
FEB,m,27.0,,,,True,,,,,1500.0,1500.0
FEB,m,33.0,,,,True,,,,,1500.0,1500.0
FEB,m,54.0,,,,True,,,,,1500.0,1500.0
FEB,m,51.0,,,,True,,,,,1500.0,1500.0
FEB,m,50.0,,,,True,,,,,1500.0,1500.0
FEB,m,69.0,,,,True,,,,,1500.0,1500.0
FEB,m,38.0,,,,True,,,,,1500.0,1500.0
FEB,m,26.0,,,,True,,,,,1500.0,1500.0
FEB,m,45.0,,,,True,,,,,1500.0,1500.0
FEB,m,38.0,,,,True,,,,,1500.0,1500.0
FEB,m,43.0,,,,True,,,,,1500.0,1500.0
FEB,m,60.0,,,,True,,,,,1500.0,1500.0
FEB,m,52.0,,,,True,,,,,1500.0,1500.0
FEB,m,58.0,,,,True,,,,,1500.0,1500.0
FEB,m,39.0,,,,True,,,,,1500.0,1500.0
FEB,m,46.0,,,,True,,,,,1500.0,1500.0
FEB,m,63.0,,,,True,,,,,1500.0,1500.0
FEB,m,55.0,,,,True,,,,,1500.0,1500.0
FEB,m,46.0,,,,True,,,,,1500.0,1500.0
FEB,m,47.0,,,,True,,,,,1500.0,1500.0
