month,sex,age,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,education,ethnicity,main_src,total_src
feb,m,29,,,,,, ,,,2330,2530
feb,m,46,,,,,, ,,,2300,2300
feb,f,54,,,,,, ,,,2300,2300
feb,m,57,,,,,, ,,,2300,2300
feb,m,75,,,,,, ,,,2300,2300
feb,m,38,,,,,, ,,,2280,2280
feb,m,37,,,,,, ,,,2280,2280
feb,m,55,,,,,, ,,,2250,2250
feb,m,39,,,,,, ,,,2202,2202
feb,f,38,,,,,, ,,,2200,2200
feb,m,24,,,,,, ,,,2200,2200
feb,m,55,,,,,, ,,,2200,2200
feb,f,55,,,,,, ,,,2200,2200
feb,f,47,,,,,, ,,,2750,2750
feb,f,21,,,,,, ,,,2141,2141
feb,m,56,,,,,, ,,,2134,2134
feb,m,50,,,,,, ,,,2079,2159
feb,m,32,,,,,, ,,,2070,2070
feb,m,56,,,,,, ,,,2118,2118
feb,m,28,,,,,, ,,,2008,2008
feb,m,33,,,,,, ,,,2000,2000
feb,m,40,,,,,, ,,,2000,2000
feb,m,23,,,,,, ,,,2000,2000
feb,m,28,,,,,, ,,,2000,2000
feb,f,49,,,,,, ,,,2050,2050
feb,f,46,,,,,, ,,,2100,2100
feb,m,33,,,,,, ,,,2000,2000
feb,m,60,,,,,, ,,,2000,2000
feb,f,39,,,,,, ,,,2000,2000
feb,f,47,,,,,, ,,,2000,2000
feb,f,37,,,,,, ,,,2000,2000
feb,m,49,,,,,, ,,,2000,2000
feb,m,61,,,,,, ,,,2000,2000
feb,m,27,,,,,, ,,,2000,2000
feb,m,48,,,,,, ,,,2000,2000
feb,m,25,,,,,, ,,,2000,2000
feb,m,35,,,,,, ,,,2000,2000
feb,f,27,,,,,, ,,,2000,2000
feb,m,45,,,,,, ,,,2000,2000
feb,m,39,,,,,, ,,,2000,2000
feb,f,39,,,,,, ,,,2000,2000
feb,m,50,,,,,, ,,,1978,1978
feb,m,54,,,,,, ,,,1970,1970
feb,m,28,,,,,, ,,,1965,1965
feb,m,39,,,,,, ,,,1962,1962
feb,m,33,,,,,, ,,,1950,1950
feb,f,31,,,,,, ,,,1950,1950
