month,gender,years,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,edu_lvl,etnicity,1st_source,total
FEB,m,76,,,,,, ,,,2400,2400
FEB,m,37,,,,,, ,,,2400,2400
FEB,m,41,,,,,, ,,,2390,2390
FEB,f,44,,,,,, ,,,2380,2380
FEB,m,45,,,,,, ,,,2350,2350
FEB,m,61,,,,,, ,,,2350,2350
FEB,m,45,,,,,, ,,,2335,2335
FEB,m,29,,,,,, ,,,2330,2530
FEB,m,46,,,,,, ,,,2300,2300
FEB,f,54,,,,,, ,,,2300,2300
FEB,m,57,,,,,, ,,,2300,2300
FEB,m,75,,,,,, ,,,2300,2300
FEB,m,38,,,,,, ,,,2280,2280
FEB,m,37,,,,,, ,,,2280,2280
FEB,m,55,,,,,, ,,,2250,2250
FEB,m,39,,,,,, ,,,2202,2202
FEB,f,38,,,,,, ,,,2200,2200
FEB,m,24,,,,,, ,,,2200,2200
FEB,m,55,,,,,, ,,,2200,2200
FEB,f,55,,,,,, ,,,2200,2200
FEB,f,47,,,,,, ,,,2750,2750
FEB,f,21,,,,,, ,,,2141,2141
FEB,m,56,,,,,, ,,,2134,2134
FEB,m,50,,,,,, ,,,2079,2159
FEB,m,32,,,,,, ,,,2070,2070
FEB,m,56,,,,,, ,,,2118,2118
FEB,m,28,,,,,, ,,,2008,2008
FEB,m,33,,,,,, ,,,2000,2000
FEB,m,40,,,,,, ,,,2000,2000
FEB,m,23,,,,,, ,,,2000,2000
FEB,m,28,,,,,, ,,,2000,2000
FEB,f,49,,,,,, ,,,2050,2050
FEB,f,46,,,,,, ,,,2100,2100
FEB,m,33,,,,,, ,,,2000,2000
FEB,m,60,,,,,, ,,,2000,2000
FEB,f,39,,,,,, ,,,2000,2000
FEB,f,47,,,,,, ,,,2000,2000
FEB,f,37,,,,,, ,,,2000,2000
FEB,m,49,,,,,, ,,,2000,2000
FEB,m,61,,,,,, ,,,2000,2000
FEB,m,27,,,,,, ,,,2000,2000
FEB,m,48,,,,,, ,,,2000,2000
FEB,m,25,,,,,, ,,,2000,2000
FEB,m,35,,,,,, ,,,2000,2000
FEB,f,27,,,,,, ,,,2000,2000
FEB,m,45,,,,,, ,,,2000,2000
FEB,m,39,,,,,, ,,,2000,2000
FEB,f,39,,,,,, ,,,2000,2000
FEB,m,50,,,,,, ,,,1978,1978
FEB,m,54,,,,,, ,,,1970,1970
FEB,m,28,,,,,, ,,,1965,1965
FEB,m,39,,,,,, ,,,1962,1962
FEB,m,33,,,,,, ,,,1950,1950
FEB,f,31,,,,,, ,,,1950,1950
FEB,m,60,,,,,, ,,,1950,1950
FEB,f,47,,,,,, ,,,2150,2150
FEB,m,51,,,,,, ,,,1949,1949
FEB,m,62,,,,,, ,,,2543,2543
